HR,respr,Time(sec),Label
84.92,10.731765656565656,1644228117.0,0
84.7,10.731765656565656,1644228118.0,0
84.35,10.699765656565656,1644228119.0,0
84.03,10.699765656565656,1644228120.0,0
83.68,10.667765656565656,1644228121.0,0
83.27,10.731765656565656,1644228122.0,0
82.83,10.731765656565656,1644228123.0,0
82.38,10.731765656565656,1644228124.0,0
81.92,10.731765656565656,1644228125.0,0
81.5,10.782965656565658,1644228126.0,0
81.02,10.782965656565658,1644228127.0,0
80.5,10.846965656565656,1644228128.0,0
80.03,10.889632323232323,1644228129.0,0
79.68,10.94083232323232,1644228130.0,0
79.32,10.94083232323232,1644228131.0,0
78.93,11.00483232323232,1644228132.0,0
78.58,10.953632323232323,1644228133.0,0
78.25,10.910965656565654,1644228134.0,0
77.97,10.923765656565656,1644228135.0,0
77.72,10.923765656565656,1644228136.0,0
77.48,10.936565656565657,1644228137.0,0
77.22,10.872565656565657,1644228138.0,0
76.98,10.821365656565655,1644228139.0,0
76.73,10.885365656565655,1644228140.0,0
76.53,10.885365656565655,1644228141.0,0
76.32,10.821365656565655,1644228142.0,0
76.12,10.821365656565655,1644228143.0,0
75.9,10.757365656565655,1644228144.0,0
75.68,10.744565656565657,1644228145.0,0
75.43,10.693365656565655,1644228146.0,0
75.2,10.629365656565655,1644228147.0,0
74.92,10.592794227994228,1644228148.0,0
74.7,10.573594227994228,1644228149.0,0
74.47,10.552260894660895,1644228150.0,0
74.22,10.552260894660895,1644228151.0,0
73.98,10.488260894660897,1644228152.0,0
73.88,10.488260894660897,1644228153.0,0
73.82,10.488260894660897,1644228154.0,0
73.68,10.539460894660897,1644228155.0,0
73.58,10.603460894660897,1644228156.0,0
73.43,10.667460894660897,1644228157.0,0
73.3,10.667460894660897,1644228158.0,0
73.43,10.667460894660897,1644228159.0,0
73.58,10.667460894660897,1644228160.0,0
73.63,10.699460894660897,1644228161.0,0
73.58,10.699460894660897,1644228162.0,0
73.48,10.731460894660897,1644228163.0,0
73.37,10.75990533910534,1644228164.0,0
73.28,10.75990533910534,1644228165.0,0
73.15,10.75990533910534,1644228166.0,0
72.95,10.785505339105338,1644228167.0,0
72.73,10.808778066378066,1644228168.0,0
72.52,10.8301113997114,1644228169.0,0
72.3,10.8301113997114,1644228170.0,0
72.03,10.7661113997114,1644228171.0,0
71.83,10.7021113997114,1644228172.0,0
71.55,10.6509113997114,1644228173.0,0
71.28,10.5997113997114,1644228174.0,0
71.03,10.5869113997114,1644228175.0,0
70.78,10.608244733044732,1644228176.0,0
70.65,10.593616161616165,1644228177.0,0
70.53,10.572282828282829,1644228178.0,0
70.47,10.585082828282829,1644228179.0,0
70.38,10.572282828282829,1644228180.0,0
70.27,10.623482828282828,1644228181.0,0
70.17,10.687482828282828,1644228182.0,0
70.08,10.623482828282828,1644228183.0,0
70.03,10.559482828282828,1644228184.0,0
70.0,10.508282828282828,1644228185.0,0
69.98,10.457082828282829,1644228186.0,0
69.98,10.393082828282829,1644228187.0,0
70.1,10.393082828282829,1644228188.0,0
70.18,10.393082828282829,1644228189.0,0
70.22,10.425082828282829,1644228190.0,0
70.23,10.453527272727271,1644228191.0,0
70.25,10.453527272727271,1644228192.0,0
70.27,10.485527272727271,1644228193.0,0
70.32,10.517527272727271,1644228194.0,0
70.35,10.545971717171716,1644228195.0,0
70.37,10.545971717171716,1644228196.0,1
70.33,10.50330505050505,1644228197.0,1
70.33,10.43930505050505,1644228198.0,1
70.35,10.37530505050505,1644228199.0,1
70.35,10.37530505050505,1644228200.0,1
70.3,10.37530505050505,1644228201.0,1
70.23,10.426505050505051,1644228202.0,1
70.18,10.477705050505053,1644228203.0,1
